,label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,14f,15f,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,mass
1,1.0,-1.4019793272018433,-0.9426202178001406,1.0494022369384766,1.63776433467865,1.68118953704834,-0.005983562208712101,0.7339258193969727,-0.4766408503055573,-0.08235473185777664,0.7542607188224792,-0.7775788903236389,-0.6403259634971619,0.4012670814990997,-1.1619147062301634,-0.7377667427062989,-0.5204489827156067,-1.0284570455551147,-0.8154401183128357,-0.8229026794433594,0.15601362287998202,-0.1971537172794342,1.7431232929229734,0.36109307408332814,-0.9419344663619996,0.02612729370594025,1.3963662385940552,-0.12392755597829815,750.0
12,0.0,-0.6463279128074646,0.13236737251281738,0.8641489148139954,0.5961579084396362,0.26613858342170715,-1.0542207956314087,-0.8012116551399232,0.23185400664806366,0.296994537115097,0.7542607188224792,-1.7395000457763674,0.8174172043800353,-0.8433648943901062,-1.1619147062301634,-2.0106482505798335,-1.4425376653671267,-1.2422391176223755,1.226331114768982,-1.368451476097107,-0.18972329795360562,-1.7109755277633667,-0.5736824870109559,-0.8005886673927308,-0.5940362811088562,-0.37753283977508545,-0.11384498327970505,-1.3001837730407717,750.0
13,1.0,-0.09326125681400302,0.168337345123291,1.2873528003692627,0.31959235668182373,-1.3594261407852173,1.5746254920959473,0.9888745546340942,-0.26870608329772944,0.20699708163738248,0.7542607188224792,0.39012160897254944,-1.0255829095840454,-1.612942814826965,-1.1619147062301634,0.8943976163864134,-0.7496517300605774,-1.224184513092041,-0.8154401183128357,1.6349290609359741,-0.06712472438812256,-1.5489379167556763,1.7431232929229734,-0.01526397280395031,-0.08096762001514435,0.756942093372345,0.8798465132713318,0.2188078016042709,750.0
16,1.0,1.2056729793548584,1.103309988975525,-1.1326572895050049,-1.2841278314590454,-0.8235484361648558,0.8504884839057921,0.9435951113700866,0.5160308480262756,0.5612199902534484,0.7542607188224792,0.9075976610183716,1.617156744003296,-1.2256700992584229,-1.1619147062301634,-0.4583275020122528,1.1802021265029907,0.4117043614387513,1.226331114768982,0.38368785381317133,-0.16271077096462247,1.030514121055603,-0.5736824870109559,-0.7392764091491699,-0.1477377712726593,-0.27047440409660334,-0.2562366724014282,0.31897759437561035,750.0
19,0.0,-1.1347113847732546,1.2574725151062014,-0.4198449552059174,-0.8480544090270995,-1.5683146715164187,-1.0542207956314087,-0.1443435698747635,-0.07703577727079391,-0.7011294364929199,0.7542607188224792,-0.4300980269908905,-0.590291440486908,1.0701290369033811,0.8606486320495604,0.0009695249027572572,0.6452996134757996,1.1157104969024658,-0.8154401183128357,-0.2784972488880157,0.3403432369232178,0.3066181838512421,-0.5736824870109559,-0.3844131529331207,-0.3648419082164765,-0.3098048269748688,-0.6736897826194764,-0.9578032493591307,750.0
22,0.0,-1.701104283332825,-0.6622259616851807,-1.1686195135116575,0.748542070388794,1.6613360643386843,0.8504884839057921,0.037240028381347656,-0.7230152487754821,-0.4932340681552887,0.7542607188224792,0.13840091228485107,-0.947256326675415,-0.0021721012890338893,-1.1619147062301634,0.7686910629272462,0.6765804290771484,1.2000938653945923,1.226331114768982,0.8977248668670655,-0.14950612187385562,-0.17193579673767087,-0.5736824870109559,-0.04205162450671196,-0.2673954367637634,-0.3105980455875397,-0.7058387398719788,-0.06985022127628328,750.0
24,1.0,0.4661139845848083,-0.3621768355369568,0.6314257383346557,1.043781042098999,0.24422426521778104,0.8504884839057921,0.0550578199326992,-0.7119666934013367,-1.6939952373504639,-1.325801372528076,0.3770667016506195,0.1533815562725067,0.04837828874588013,0.8606486320495604,0.22308360040187838,0.4980227947235107,-1.3019118309020994,-0.8154401183128357,1.0226222276687622,-0.8124369382858276,-1.0109277963638303,1.7431232929229734,-1.3008085489273071,-0.29143789410591125,-0.15331459045410156,-0.542111873626709,0.0061988155357539645,750.0
32,0.0,-1.2796107530593872,-1.0729316473007202,0.9541150331497192,0.6545001864433289,1.5726158618927002,0.8504884839057921,0.6581289768218994,-0.4994753301143646,1.680169701576233,0.7542607188224792,1.343127965927124,-2.2137453556060795,0.4523109495639801,-1.1619147062301634,1.3488024473190308,0.7524428367614746,-0.4566382765769958,1.226331114768982,1.9880071878433228,1.389216065406799,-0.35165494680404663,-0.5736824870109559,-0.9095517992973328,-0.21595071256160736,-0.3821882605552672,-0.7951455712318419,1.956015706062317,750.0
33,0.0,0.1785517185926437,-0.5247267484664916,-1.6143313646316528,-0.2452173084020614,-1.191650390625,-1.0542207956314087,-1.0768420696258545,-0.6486551761627197,0.8069708347320557,-1.325801372528076,-0.8210982084274292,-0.7244399785995483,-0.15787704288959506,0.8606486320495604,-1.0069458484649658,-1.4839447736740112,0.4231359660625458,1.226331114768982,-1.469750761985779,0.513889491558075,-0.6342440843582153,-0.5736824870109559,0.28127980232238764,-0.4038802683353424,-0.3520920872688293,-0.3663363754749298,-1.1781378984451294,750.0
34,1.0,0.578637957572937,-0.13220851123332975,-0.6319601535797119,-0.9387366771697998,-0.6793642044067383,0.8504884839057921,-0.2507372200489044,-0.2963113486766816,0.4058508276939392,-1.325801372528076,-0.4731727540493011,-1.3507729768753052,1.1395217180252075,-1.1619147062301634,-0.3695633709430695,-1.288303256034851,-1.5132290124893186,1.226331114768982,0.3116353154182434,0.6942118406295776,-1.577797770500183,1.7431232929229734,0.06954123079776764,-0.8972803950309755,-0.3292279839515686,-0.6872639656066895,-0.3315639495849609,750.0
36,0.0,0.7412500381469727,0.1867509335279465,-0.06972410529851913,0.6056597232818604,0.18589614331722254,-1.0542207956314087,0.6767948269844055,0.9486852288246151,-1.5013383626937866,0.7542607188224792,0.5719733238220215,0.6642907857894897,0.07794414460659027,-1.1619147062301634,0.9716818928718566,0.4495874345302582,1.5002169609069824,1.226331114768982,-1.098763585090637,-1.9585011005401605,1.2737443447113037,-0.5736824870109559,2.4266369342803955,2.5720977783203125,-0.36592981219291687,1.1385245323181152,0.5801964998245239,750.0
42,0.0,-1.5056395530700684,0.871082305908203,-0.31825917959213257,0.7696739435195923,-0.8413178324699402,-1.0542207956314087,-0.7124747633934021,0.07814018428325653,-1.3800396919250488,0.7542607188224792,-0.8279206156730652,1.1379848718643188,0.7366843819618226,-1.1619147062301634,-0.6350629925727844,1.6233190298080447,1.390687346458435,-0.8154401183128357,0.012605124153196812,0.4020648896694183,0.29113340377807617,1.7431232929229734,-0.3056708574295044,-0.8209465742111206,-0.3339873552322388,-0.6923808455467224,-0.7131744027137756,750.0
53,0.0,0.5689408183097839,-0.6504598855972289,0.14059519767761233,0.07206793874502182,-0.44307833909988403,-0.005983562208712101,-0.34319320321083063,0.7154086232185364,-1.3127943277359007,-1.325801372528076,-0.992840826511383,-0.5588220357894897,0.7310275435447693,0.8606486320495604,-0.7664335966110228,-1.2370868921279907,1.3426942825317383,1.226331114768982,-0.5745950341224672,-1.731628179550171,0.8634753227233887,-0.5736824870109559,-0.622206449508667,-1.2909888029098513,-0.1422668397426605,-0.38250833749771124,-0.34654945135116577,750.0
57,0.0,-0.5887455344200134,-1.8694976568222044,-0.925304114818573,0.2533916234970093,-0.8389360904693604,1.5746254920959473,-1.6951286792755127,-1.8521513938903809,0.4594967365264893,-1.325801372528076,-1.2808656692504885,-1.0918179750442507,-1.416828155517578,0.8606486320495604,-0.7626782059669494,0.6582784056663512,-0.682739794254303,1.226331114768982,-0.07894209027290344,-2.0353450775146484,1.1715658903121948,-0.5736824870109559,0.4592078030109405,-0.4083198010921478,-0.3496248722076416,-1.20737886428833,-0.7537290453910828,750.0
59,0.0,-0.7334601283073426,-1.5778340101242063,-0.16540220379829404,-0.3122612535953522,1.6836320161819458,0.8504884839057921,-0.4915758073329926,-1.007093667984009,0.6891451478004456,0.7542607188224792,-1.0873887538909912,0.2500546872615814,-1.0607396364212034,-1.1619147062301634,-1.0822503566741943,-0.8743703961372375,-1.1327370405197144,1.226331114768982,-0.2854224741458893,-0.1937678605318069,-1.3903188705444336,-0.5736824870109559,-0.40535122156143194,-0.44481283426284796,0.07155465334653854,-1.2081954479217527,-1.1945898532867432,750.0
61,1.0,-0.3223498463630676,-0.30665034055709833,0.5874958038330079,-1.239490270614624,0.6474814414978028,-1.0542207956314087,-0.41106656193733215,-1.0211330652236938,-1.1876034736633299,0.7542607188224792,-0.004410914611071347,1.1372215747833254,0.5804156661033631,0.8606486320495604,-1.1318951845169067,-1.6162036657333374,-0.9805468320846558,-0.8154401183128357,-1.681568384170532,0.18421964347362524,-1.4390674829483032,-0.5736824870109559,-0.20148546993732447,-1.1552340984344482,-0.31074029207229614,-0.7852514386177064,-0.2344560921192169,750.0
66,0.0,-0.9909534454345704,0.44317495822906494,0.8853170871734619,-0.7515358328819276,-1.1626834869384766,-0.005983562208712101,-0.32117465138435364,2.050368547439575,-1.674408197402954,-1.325801372528076,-0.29625487327575684,0.6855213642120361,-0.2142408490180969,-1.1619147062301634,0.523727297782898,-1.0470449924468994,0.5872138142585754,1.226331114768982,-0.006670433096587659,1.3875426054000857,-0.6770762205123901,1.7431232929229734,0.42270469665527344,-0.05110578611493111,-0.3339736759662628,-0.590383231639862,0.33274051547050487,750.0
70,0.0,-0.43381801247596735,-0.5594128370285034,0.4474825561046599,-0.356996089220047,1.5410907268524165,-1.0542207956314087,-1.3599601984024048,-1.3225065469741821,-1.648475885391235,0.7542607188224792,-1.117783784866333,-1.7862015962600706,0.44422543048858637,-1.1619147062301634,-1.3421982526779175,-0.3701285421848297,-0.1692840605974197,-0.8154401183128357,-0.7116502523422241,0.260445922613144,-0.840624690055847,1.7431232929229734,0.0365796834230423,-0.23560452461242676,-0.3411701619625092,-0.7685449719429016,-1.418831706047058,750.0
74,0.0,-0.9525006413459776,-1.2815911769866943,-0.21049501001834867,0.03468685969710351,1.1029309034347534,-0.005983562208712101,-1.0266448259353635,-1.477482438087463,-1.0366731882095337,0.7542607188224792,-0.8536053895950317,-0.20006249845027924,0.6232720613479615,-1.1619147062301634,-0.5324596762657166,-0.6419022083282472,-0.9675379991531372,1.226331114768982,-0.4982099533081055,0.7107939720153809,0.38263037800788874,-0.5736824870109559,-0.6356708407402039,-0.2699233293533325,0.08167788386344908,-0.5336670875549318,-1.034345269203186,750.0
